Oui	INT	oui
dans	PRP	dans
un	DET:ART	un
criminel	NOM	criminel
veut	VER:pres	vouloir
trouver	VER:infi	trouver
mon	DET:POS	mon
amant	NOM	amant
.	SENT	.
L'	DET:ART	le
amour	NOM	amour
qu'	KON	que
à	PRP	à
ses	DET:POS	son
pareils	NOM	pareil
une	DET:ART	un
princesse	NOM	princesse
imprime	VER:pres	imprimer
,	PUN	,
Rend	VER:ppre	Rend
le	DET:ART	le
coeur	NOM	cœur
qu'	PRO:REL	que
il	PRO:PER	il
occupe	VER:pres	occuper
incapable	ADJ	incapable
de	PRP	de
crime	NOM	crime
,	PUN	,
Et	NOM	Et
pour	PRP	pour
Eucherius	NAM	Eucherius
ce	PRO:DEM	ce
droit	NOM	droit
est	VER:pres	être
si	ADV	si
puissant	ADJ	puissant
,	PUN	,
Que	NAM	Que
s'	KON	si
il	PRO:PER	il
m'	PRO:PER	me
aime	VER:pres	aimer
en	PRP	en
effet	NOM	effet
,	PUN	,
il	PRO:PER	il
doit	VER:pres	devoir
être	VER:infi	être
innocent	ADJ	innocent
;	PUN	;
Ma	VER:simp	Ma
vertu	NOM	vertu
fait	VER:pres	faire
sa	DET:POS	son
règle	NOM	règle
en	PRP	en
tout	PRO:IND	tout
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
peut	VER:pres	pouvoir
faire	VER:infi	faire
.	SENT	.
D'	PRP	de
un	DET:ART	un
peu	ADV	peu
d'	PRP	de
orgueil	NOM	orgueil
peut-être	ADV	peut-être
elle	PRO:PER	elle
a	VER:pres	avoir
le	DET:ART	le
caractère	NOM	caractère
,	PUN	,
L'	DET:ART	le
éclat	NOM	éclat
d'	PRP	de
un	DET:ART	un
sang	NOM	sang
illustre	ADJ	illustre
est	VER:pres	être
son	NOM	son
plus	ADV	plus
cher	ADJ	cher
appas	NOM	appas
,	PUN	,
Mais	VER:impf	Mais
un	DET:ART	un
si	ADV	si
noble	ADJ	noble
orgueil	NOM	orgueil
n'	ADV	ne
inspire	VER:pres	inspirer
rien	ADV	rien
de	PRP	de
bas	NOM	bas
.	SENT	.
S'	PRO:PER	se
il	PRO:PER	il
tient	VER:pres	tenir
l'	DET:ART	le
ardeur	NOM	ardeur
du	PRP:det	du
trône	NOM	trône
et	KON	et
douce	ADJ	doux
et	KON	et
légitime	ADJ	légitime
,	PUN	,
Il	NAM	Il
sait	VER:pres	savoir
la	PRO:PER	la
dédaigner	VER:infi	dédaigner
dès	PRP	dès
qu'	KON	que
il	PRO:PER	il
en	PRO:PER	en
coûte	VER:pres	coûter
un	DET:ART	un
crime	NOM	crime
,	PUN	,
Et	VER:simp	Et
c'	PRO:DEM	ce
est	VER:pres	être
d'	PRP	de
Eucherius	NAM	Eucherius
connaître	VER:infi	connaître
mal	ADV	mal
la	DET:ART	le
foi	NOM	foi
,	PUN	,
Que	VER:simp	Que
vouloir	VER:infi	vouloir
présumer	VER:infi	présumer
qu'	KON	que
il	PRO:PER	il
conspire	VER:pres	conspirer
pour	PRP	pour
moi	PRO:PER	moi
.	SENT	.
Qu'	KON	que
on	PRO:PER	on
me	PRO:PER	me
réponde	VER:subp	répondre
en	PRP	en
lui	PRO:PER	lui
d'	PRP	de
une	DET:ART	un
amour	NOM	amour
véritable	ADJ	véritable
,	PUN	,
Je	PRO:PER	je
répondrai	VER:futu	répondre
qu'	KON	que
à	PRP	à
tort	NOM	tort
vous	PRO:PER	vous
le	PRO:PER	le
croyez	VER:pres	croire
coupable	ADJ	coupable
,	PUN	,
Et	NOM	Et
qu'	PRO:REL	que
il	PRO:PER	il
me	PRO:PER	me
connaît	VER:pres	connaître
trop	ADV	trop
pour	PRP	pour
s'	PRO:PER	se
être	VER:infi	être
enfin	ADV	enfin
flatté	VER:pper	flatter
De	VER:pres	De
surprendre	VER:infi	surprendre
mon	DET:POS	mon
coeur	NOM	cœur
par	PRP	par
une	DET:ART	un
lâcheté	NOM	lâcheté
.	SENT	.
Jusqu'	PRP	jusque
où	PRO:REL	où
l'	DET:ART	le
orgueil	NOM	orgueil
du	PRP:det	du
sang	NOM	sang
contre	PRP	contre
moi	PRO:PER	moi
vous	PRO:PER	vous
abuse	VER:pres	abuser
!	SENT	!
La	DET:ART	le
cause	NOM	cause
de	PRP	de
son	DET:POS	son
crime	NOM	crime
en	PRO:PER	en
doit	VER:pres	devoir
être	VER:infi	être
l'	DET:ART	le
excuse	NOM	excuse
,	PUN	,
Et	NOM	Et
quand	KON	quand
à	PRP	à
conspirer	VER:infi	conspirer
pour	KON	pour
vous	PRO:PER	vous
il	PRO:PER	il
se	PRO:PER	se
résout	VER:pres	résoudre
,	PUN	,
D'	NOM	D'
un	DET:ART	un
si	ADV	si
lâche	ADJ	lâche
forfait	NOM	forfait
votre	DET:POS	votre
vertu	NOM	vertu
l'	PRO:PER	la|le
absout	VER:pres	absoudre
?	SENT	?
Qui	PRO:REL	qui
le	PRO:PER	le
sait	VER:pres	savoir
votre	DET:POS	votre
amant	NOM	amant
l'	PRO:PER	la|le
en	PRO:PER	en
doit	VER:pres	devoir
croire	VER:infi	croire
incapable	ADJ	incapable
?	SENT	?
Mais	KON	mais
sur	PRP	sur
quoi	PRO	quoi
s'	PRO:PER	se
assurer	VER:infi	assurer
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
qu'	PRO:REL	que
il	PRO:PER	il
soit	VER:subp	être
coupable	ADJ	coupable
?	SENT	?
Sur	PRP	sur
cent	NUM	cent
preuves	NOM	preuve
,	PUN	,
hélas	INT	hélas
!	SENT	!
Qu'	KON	que
il	PRO:PER	il
n'	ADV	ne
a	VER:pres	avoir
pu	VER:pper	pouvoir
démentir	VER:infi	démentir
.	SENT	.
Si	KON	si
Zénon	NAM	Zénon
en	PRP	en
secret	ADJ	secret
tâche	NOM	tâche
de	PRP	de
m'	PRO:PER	me
avertir	VER:infi	avertir
,	PUN	,
S'	NAM	S'
il	PRO:PER	il
n'	ADV	ne
ose	VER:pres	oser
me	PRO:PER	me
parler	VER:infi	parler
de	PRP	de
peur	NOM	peur
qu'	PRO:REL	que
on	PRO:PER	on
le	PRO:PER	le
soupçonne	VER:pres	soupçonner
,	PUN	,
S'	ADJ	S'
il	PRO:PER	il
vous	PRO:PER	vous
donne	VER:pres	donner
un	DET:ART	un
billet	NOM	billet
sans	PRP	sans
y	PRO:PER	y
nommer	VER:infi	nommer
personne	NOM	personne
,	PUN	,
C'	NAM	C'
est	VER:pres	être
qu'	KON	que
en	PRP	en
m'	PRO:PER	me
avertissant	VER:ppre	avertir
,	PUN	,
s'	PRO:PER	se
il	PRO:PER	il
fait	VER:pres	faire
rien	ADV	rien
éclater	VER:infi	éclater
,	PUN	,
Il	NAM	Il
trouve	VER:pres	trouver
Eucherius	NAM	Eucherius
par	PRP	par
tout	ADV	tout
à	PRP	à
redouter	VER:infi	redouter
.	SENT	.
Il	PRO:PER	il
vous	PRO:PER	vous
craint	VER:pres	craindre
comme	ADV	comme
soeur	NOM	sœur
s'	KON	si
il	PRO:PER	il
s'	PRO:PER	se
ouvre	VER:pres	ouvrer|ouvrir
sans	PRP	sans
réserve	NOM	réserve
,	PUN	,
S'	ADJ	S'
il	PRO:PER	il
me	PRO:PER	me
parle	VER:pres	parler
au	PRP:det	au
palais	NOM	palais
,	PUN	,
Eucherius	NAM	Eucherius
m'	PRO:PER	me
observe	VER:pres	observer
;	PUN	;
Enfin	NOM	Enfin
par	PRP	par
son	DET:POS	son
amour	NOM	amour
sa	DET:POS	son
vertu	NOM	vertu
se	PRO:PER	se
détruit	VER:pres	détruire
,	PUN	,
Il	NAM	Il
aime	VER:pres	aimer
,	PUN	,
il	PRO:PER	il
cherche	VER:pres	chercher
à	PRP	à
plaire	VER:infi	plaire
,	PUN	,
et	KON	et
c'	PRO:DEM	ce
en	PRO:PER	en
est	VER:pres	être
là	ADV	là
le	DET:ART	le
fruit	NOM	fruit
.	SENT	.
Et	KON	et
bien	ADV	bien
,	PUN	,
jusques	PRP	jusques
au	PRP:det	au
bout	NOM	bout
poussez	VER:pres	pousser
votre	DET:POS	votre
injustice	NOM	injustice
,	PUN	,
D'	NAM	D'
un	DET:ART	un
forfait	NOM	forfait
odieux	ADJ	odieux
déclarez	VER:pres	déclarer
-moi	PRO:PER	moi
complice	ADJ	complice
,	PUN	,
Prenez	VER:pres	prendre
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
venger	VER:infi	venger
sur	PRP	sur
mon	DET:POS	mon
sang	NOM	sang
Le	DET:ART	le
refus	NOM	refus
d'	PRP	de
un	DET:ART	un
hymen	NOM	hymen
qui	PRO:REL	qui
trahissait	VER:impf	trahir
mon	DET:POS	mon
rang	NOM	rang
.	SENT	.
Quand	KON	quand
j'	PRO:PER	je
aurai	VER:futu	avoir
par	PRP	par
ma	DET:POS	mon
mort	NOM	mort
saoulé	VER:pper	saouler
votre	DET:POS	votre
vengeance	NOM	vengeance
,	PUN	,
D'	NAM	D'
Eucherius	NAM	Eucherius
alors	ADV	alors
vous	PRO:PER	vous
croirez	VER:futu	croire
l'	DET:ART	le
innocence	NOM	innocence
,	PUN	,
Et	NOM	Et
ferez	VER:futu	faire
vanité	NOM	vanité
de	PRP	de
ne	ADV	ne
plus	ADV	plus
déguiser	VER:infi	déguiser
,	PUN	,
Que	VER:infi	Que
pour	PRP	pour
me	PRO:PER	me
perdre	VER:infi	perdre
seule	ADJ	seul
,	PUN	,
on	PRO:PER	on
voulut	VER:simp	vouloir
l'	PRO:PER	la|le
accuser	VER:infi	accuser
.	SENT	.
Ah	INT	ah
,	PUN	,
madame	NOM	madame
!	SENT	!
Quittez	VER:pres	quitter
une	DET:ART	un
erreur	NOM	erreur
volontaire	ADJ	volontaire
.	SENT	.
N'	ADV	ne
excusez	VER:pres	excuser
point	ADV	point
un	DET:ART	un
fils	NOM	fil|fils
que	PRO:REL	que
désavoue	VER:pres	désavouer
un	DET:ART	un
père	NOM	père
;	PUN	;
Le	DET:ART	le
sang	NOM	sang
en	PRP	en
sa	DET:POS	son
faveur	NOM	faveur
aurait	VER:cond	avoir
séduit	VER:pper	séduire
ma	DET:POS	mon
voix	NOM	voix
,	PUN	,
Mais	VER:impf	Mais
contre	PRP	contre
mon	DET:POS	mon
devoir	NOM	devoir
la	DET:ART	le
nature	NOM	nature
est	VER:pres	être
sans	PRP	sans
droits	NOM	droit
.	SENT	.
Vous	PRO:PER	vous
voyez	VER:pres	voir
son	DET:POS	son
forfait	NOM	forfait
dans	PRP	dans
l'	DET:ART	le
ardeur	NOM	ardeur
qui	PRO:REL	qui
l'	PRO:PER	la|le
anime	VER:pres	animer
,	PUN	,
En	VER:subi	En
vous	PRO:PER	vous
osant	VER:ppre	oser
aimer	VER:infi	aimer
,	PUN	,
il	PRO:PER	il
fit	VER:simp	faire
un	DET:ART	un
premier	NUM	premier
crime	NOM	crime
,	PUN	,
Et	VER:ppre	Et
son	DET:POS	son
respect	NOM	respect
pour	PRP	pour
vous	PRO:PER	vous
par	PRP	par
son	DET:POS	son
feu	NOM	feu
violé	VER:pper	violer
,	PUN	,
N'	NAM	N'
a	VER:pres	avoir
pu	VER:pper	pouvoir
dans	PRP	dans
un	DET:ART	un
plus	ADV	plus
grand	ADJ	grand
voir	VER:infi	voir
son	DET:POS	son
coeur	NOM	cœur
ébranlé	VER:pper	ébranler
.	SENT	.
Hors	PRP	hors
l'	DET:ART	le
objet	NOM	objet
qui	PRO:REL	qui
le	DET:ART	le
charme	NOM	charme
il	PRO:PER	il
n'	ADV	ne
a	VER:pres	avoir
rien	ADV	rien
à	PRP	à
connaître	VER:infi	connaître
,	PUN	,
Pour	NAM	Pour
gagner	VER:infi	gagner
sa	DET:POS	son
maîtresse	NOM	maître|maîtresse
il	PRO:PER	il
veut	VER:pres	vouloir
perdre	VER:infi	perdre
son	DET:POS	son
maître	NOM	maître
,	PUN	,
Et	NAM	Et
tient	VER:pres	tenir
son	DET:POS	son
attentat	NOM	attentat
facile	ADJ	facile
à	PRP	à
pardonner	VER:infi	pardonner
,	PUN	,
Si	VER:infi	Si
vous	PRO:PER	vous
demandant	VER:ppre	demander
grâce	NOM	grâce
il	PRO:PER	il
peut	VER:pres	pouvoir
vous	PRO:PER	vous
couronner	VER:infi	couronner
.	SENT	.
Mais	KON	mais
cependant	ADV	cependant
,	PUN	,
seigneur	NOM	seigneur
,	PUN	,
d'	PRP	de
une	DET:ART	un
lâche	ADJ	lâche
entreprise	NOM	entreprise
On	NAM	On
ne	ADV	ne
peut	VER:pres	pouvoir
trop	ADV	trop
pour	PRP	pour
vous	PRO:PER	vous
redouter	VER:infi	redouter
la	DET:ART	le
surprise	NOM	surprise
,	PUN	,
Il	NAM	Il
faut	VER:pres	falloir
pourvoir	NOM	pourvoir
sur	PRP	sur
l'	DET:ART	le
heure	NOM	heure
à	PRP	à
votre	DET:POS	votre
sûreté	NOM	sûreté
.	SENT	.
Oui	INT	oui
,	PUN	,
madame	NOM	madame
,	PUN	,
et	KON	et
punir	VER:infi	punir
qui	PRO:REL	qui
l'	PRO:PER	la|le
aura	VER:futu	avoir
mérité	VER:pper	mériter
.	SENT	.
Attendant	VER:ppre	attendre
que	KON	que
du	PRP:det	du
crime	NOM	crime
on	PRO:PER	on
ait	VER:subp	avoir
quelque	PRO:IND	quelque
lumière	NOM	lumière
,	PUN	,
Dans	VER:ppre	Dans
mon	DET:POS	mon
appartement	NOM	appartement
je	PRO:PER	je
me	PRO:PER	me
fais	VER:pres	faire
prisonnière	NOM	prisonnier
;	PUN	;
Preste	NOM	Preste
à	PRP	à
répondre	VER:infi	répondre
à	PRP	à
tout	ADV	tout
,	PUN	,
on	PRO:PER	on
m'	PRO:PER	me
y	PRO:PER	y
peut	VER:pres	pouvoir
observer	VER:infi	observer
.	SENT	.
elle	PRO:PER	elle
sort	VER:pres	sortir
.	SENT	.
Ô	INT	ô
sort	NOM	sort
,	PUN	,
dont	PRO:REL	dont
le	DET:ART	le
caprice	NOM	caprice
osa	VER:simp	oser
trop	ADV	trop
m'	PRO:PER	me
élever	VER:infi	élever
!	SENT	!
Va	VER:pres	aller
,	PUN	,
si	KON	si
de	PRP	de
sa	DET:POS	son
fureur	NOM	fureur
quelque	PRO:IND	quelque
chose	NOM	chose
est	VER:pres	être
à	PRP	à
craindre	VER:infi	craindre
,	PUN	,
Songe	NAM	Songe
à	PRP	à
m'	PRO:PER	me
en	PRP	en
préserver	VER:infi	préserver
,	PUN	,
et	KON	et
non	ADV	non
pas	ADV	pas
à	PRP	à
te	PRO:PER	te
plaindre	VER:infi	plaindre
.	SENT	.
Donne	VER:pres	donner
ordre	NOM	ordre
...	PUN	...
moi	PRO:PER	moi
,	PUN	,
seigneur	NOM	seigneur
?	SENT	?
Prendre	VER:infi	prendre
quelque	PRO:IND	quelque
pouvoir	NOM	pouvoir
Quand	NAM	Quand
je	PRO:PER	je
deviens	VER:pres	devenir
suspect	ADJ	suspect
du	PRP:det	du
crime	NOM	crime
le	DET:ART	le
plus	ADV	plus
noir	ADJ	noir
?	SENT	?
Non	ADV	non
,	PUN	,
non	ADV	non
,	PUN	,
pour	PRP	pour
me	PRO:PER	me
cacher	VER:infi	cacher
l'	DET:ART	le
opprobre	NOM	opprobre
de	PRP	de
ma	DET:POS	mon
race	NOM	race
,	PUN	,
Je	PRO:PER	je
demande	VER:pres	demander
la	DET:ART	le
mort	NOM	mort
par	PRP	par
justice	NOM	justice
ou	KON	ou
par	PRP	par
grâce	NOM	grâce
,	PUN	,
Et	NOM	Et
que	PRO:REL	que
vous	PRO:PER	vous
m'	PRO:PER	me
épargniez	VER:impf	épargner
la	DET:ART	le
honte	NOM	honte
où	PRO:REL	où
je	PRO:PER	je
me	PRO:PER	me
vois	VER:pres	voir
D'	NOM	D'
avoir	VER:infi	avoir
fait	VER:pper	faire
naître	VER:infi	naître
un	DET:ART	un
fils	NOM	fil|fils
si	KON	si
peu	ADV	peu
digne	ADJ	digne
de	PRP	de
moi	PRO:PER	moi
.	SENT	.
Voudrait	VER:cond	vouloir
-on	PRO:PER	on
qu'	ADV	qu'
en	PRP	en
lui	PRO:PER	lui
seul	NOM	seul
sa	DET:POS	son
lâcheté	NOM	lâcheté
punie	ADJ	puni
M'	ADJ	M'
en	PRO:PER	en
laissât	VER:subi	laisser
après	PRP	après
lui	PRO:PER	lui
traîner	VER:infi	traîner
l'	DET:ART	le
ignominie	NOM	ignominie
?	SENT	?
L'	DET:ART	le
horreur	NOM	horreur
m'	PRO:PER	me
en	PRO:PER	en
fait	VER:pres	faire
trembler	VER:infi	trembler
,	PUN	,
et	KON	et
voulant	VER:ppre	vouloir
le	DET:ART	le
trépas	NOM	trépas
,	PUN	,
Vous	NAM	Vous
me	PRO:PER	me
puniriez	VER:cond	punir
trop	ADV	trop
de	PRP	de
ne	ADV	ne
me	PRO:PER	me
punir	VER:infi	punir
pas	ADV	pas
.	SENT	.
Ô	INT	ô
devoir	VER:infi	devoir
toujours	ADV	toujours
ferme	ADJ	ferme
,	PUN	,
et	KON	et
vertu	NOM	vertu
trop	ADV	trop
sévère	ADJ	sévère
!	SENT	!
Madame	NOM	Madame
,	PUN	,
prenez	VER:pres	prendre
soin	NOM	soin
de	PRP	de
consoler	VER:infi	consoler
un	DET:ART	un
père	NOM	père
,	PUN	,
C'	NAM	C'
est	VER:pres	être
perdre	VER:infi	perdre
trop	ADV	trop
de	PRP	de
temps	NOM	temps
au	PRP:det	au
péril	NOM	péril
où	PRO:REL	où
je	PRO:PER	je
suis	VER:pres	suivre|être
.	SENT	.
Hélas	INT	hélas
!	SENT	!
Que	KON	que
peut	VER:pres	pouvoir
une	DET:ART	un
âme	NOM	âme
où	PRO:REL	où
règnent	VER:pres	régner
tant	ADV	tant
d'	PRP	de
ennuis	NOM	ennui
?	SENT	?
Seigneur	NOM	seigneur
,	PUN	,
contre	PRP	contre
ce	PRO:DEM	ce
fils	NOM	fil|fils
témoigner	VER:infi	témoigner
tant	ADV	tant
de	PRP	de
haine	NOM	haine
?	SENT	?
Je	PRO:PER	je
sais	VER:pres	savoir
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
fais	VER:pres	faire
,	PUN	,
ne	ADV	ne
t'	PRO:PER	te
en	PRO:PER	en
mets	VER:pres	mettre
point	ADV	point
en	PRP	en
peine	NOM	peine
,	PUN	,
Et	NOM	Et
demain	ADV	demain
tiens	VER:pres	tenir
-toi	PRO:PER	toi
sûr	ADJ	sûr
de	PRP	de
voir	VER:infi	voir
selon	PRP	selon
tes	DET:POS	ton
voeux	NOM	vœu
,	PUN	,
Eucherius	NAM	Eucherius
au	PRP:det	au
trône	NOM	trône
,	PUN	,
et	KON	et
Stilicon	NAM	Stilicon
heureux	ADJ	heureux
.	SENT	.
Le	DET:ART	le
crime	NOM	crime
est	VER:pres	être
éclairci	VER:pper	éclaircir
!	SENT	!
Que	KON	que
me	PRO:PER	me
dis	VER:pres	dire
-tu	PRO:PER	tu
,	PUN	,
Lucile	NAM	Lucile
?	SENT	?
Que	KON	que
du	PRP:det	du
moins	ADV	moins
le	DET:ART	le
coupable	NOM	coupable
à	PRP	à
connaître	VER:infi	connaître
est	VER:pres	être
facile	ADJ	facile
,	PUN	,
Et	NOM	Et
qu'	PRO:REL	que
il	PRO:PER	il
se	PRO:PER	se
cache	VER:pres	cacher
en	PRP	en
vain	ADJ	vain
,	PUN	,
lors	ADV	lors
qu'	KON	que
un	DET:ART	un
heureux	ADJ	heureux
destin	NOM	destin
De	NAM	De
Zénon	NAM	Zénon
dans	PRP	dans
Felix	NAM	Felix
nous	PRO:PER	nous
livre	VER:pres	livrer
l'	DET:ART	le
assassin	NOM	assassin
.	SENT	.
Felix	NAM	Felix
!	SENT	!
Quoi	PRO	quoi
,	PUN	,
cette	PRO:DEM	ce
mort	NOM	mort
est	VER:pres	être
l'	DET:ART	le
effet	NOM	effet
de	PRP	de
sa	DET:POS	son
rage	NOM	rage
?	SENT	?
Flavie	NAM	Flavie
entrait	VER:impf	entrer
alors	ADV	alors
dans	PRP	dans
cet	PRO:DEM	ce
obscur	ADJ	obscur
passage	NOM	passage
,	PUN	,
Qui	NAM	Qui
s'	PRO:PER	se
arrêtant	VER:ppre	arrêter
au	PRP:det	au
bruit	NOM	bruit
,	PUN	,
mais	KON	mais
sans	PRP	sans
rien	ADV	rien
discerner	VER:infi	discerner
,	PUN	,
Entend	NAM	Entend
,	PUN	,
et	KON	et
c'	PRO:DEM	ce
est	VER:pres	être
Felix	NAM	Felix
qui	PRO:REL	qui
m'	PRO:PER	me
ose	VER:pres	oser
assassiner	VER:infi	assassiner
.	SENT	.
Interdite	VER:pper	interdire
et	KON	et
tremblante	ADJ	tremblant
,	PUN	,
elle	PRO:PER	elle
quitte	VER:pres	quitter
la	DET:ART	le
place	NOM	place
,	PUN	,
Rencontre	NOM	rencontre
Theodot	NAM	Theodot
,	PUN	,
lui	PRO:PER	lui
dit	VER:pres	dire
ce	PRO:DEM	ce
qui	PRO:REL	qui
se	PRO:PER	se
passe	VER:pres	passer
.	SENT	.
Il	PRO:PER	il
l'	PRO:PER	la|le
oblige	VER:pres	obliger
à	PRP	à
s'	PRO:PER	se
en	PRP	en
taire	VER:infi	taire
,	PUN	,
et	KON	et
prudent	ADJ	prudent
et	KON	et
discret	ADJ	discret
En	NOM	En
vient	VER:pres	venir
à	PRP	à
l'	DET:ART	le
empereur	NOM	empereur
découvrir	VER:infi	découvrir
le	DET:ART	le
secret	NOM	secret
.	SENT	.
Lui	PRO:PER	lui
que	ADV	que
d'	PRP	de
Eucherius	NAM	Eucherius
le	DET:ART	le
triste	ADJ	triste
sort	NOM	sort
accable	VER:pres	accabler
,	PUN	,
Craint	NAM	Craint
de	PRP	de
voir	VER:infi	voir
un	DET:ART	un
témoin	NOM	témoin
qui	PRO:REL	qui
convainc	VER:pres	convaincre
le	DET:ART	le
coupable	ADJ	coupable
,	PUN	,
Et	NOM	Et
mandant	VER:ppre	mander
Stilicon	NAM	Stilicon
,	PUN	,
lui	PRO:PER	lui
veut	VER:pres	vouloir
persuader	VER:infi	persuader
De	VER:futu	De
pourvoir	NOM	pourvoir
en	PRP	en
secret	NOM	secret
à	PRP	à
le	PRO:PER	le
faire	VER:infi	faire
évader	VER:infi	évader
;	PUN	;
Mais	VER:impf	Mais
loin	ADV	loin
que	KON	que
Stilicon	NAM	Stilicon
à	PRP	à
cet	PRO:DEM	ce
ordre	NOM	ordre
obéisse	VER:subp	obéir
,	PUN	,
Si	VER:ppre	Si
son	DET:POS	son
fils	NOM	fil|fils
est	VER:pres	être
coupable	ADJ	coupable
,	PUN	,
il	PRO:PER	il
consent	VER:pres	consentir
qu'	KON	que
il	PRO:PER	il
périsse	VER:subp	périr
,	PUN	,
Et	NOM	Et
quoi	PRO:REL	quoi
que	KON	que
de	PRP	de
Felix	NAM	Felix
il	PRO:PER	il
doive	VER:subp	devoir
redouter	VER:infi	redouter
,	PUN	,
C'	NAM	C'
est	VER:pres	être
lui	PRO:PER	lui
-même	ADJ	même
aussitôt	ADV	aussitôt
qui	PRO:REL	qui
le	PRO:PER	le
fait	VER:pres	faire
arrêter	VER:infi	arrêter
.	SENT	.
Voila	VER:simp	voiler
de	PRP	de
Mutian	NAM	Mutian
ce	PRO:DEM	ce
que	PRO:REL	que
je	PRO:PER	je
viens	VER:pres	venir
d'	PRP	de
apprendre	VER:infi	apprendre
.	SENT	.
Mon	DET:POS	mon
coeur	NOM	cœur
dans	PRP	dans
ce	PRO:DEM	ce
qu'	PRO:REL	que
il	PRO:PER	il
sent	VER:pres	sentir
a	VER:pres	avoir
peine	NOM	peine
à	PRP	à
se	PRO:PER	se
comprendre	VER:infi	comprendre
.	SENT	.
La	DET:ART	le
joie	NOM	joie
et	KON	et
le	DET:ART	le
chagrin	NOM	chagrin
y	PRO:PER	y
viennent	VER:pres	venir
tour	NOM	tour
à	PRP	à
tour	NOM	tour
Entretenir	VER:infi	entretenir
ma	DET:POS	mon
crainte	NOM	crainte
,	PUN	,
et	KON	et
flatter	VER:infi	flatter
mon	DET:POS	mon
amour	NOM	amour
.	SENT	.
Mes	DET:POS	mon
voeux	NOM	vœu
d'	PRP	de
Eucherius	NAM	Eucherius
embrassent	VER:pres	embrasser
la	DET:ART	le
défense	NOM	défense
,	PUN	,
J'	ADJ	J'
en	PRO:PER	en
voudrais	VER:cond	vouloir
déjà	ADV	déjà
voir	VER:infi	voir
éclater	VER:infi	éclater
l'	DET:ART	le
innocence	NOM	innocence
,	PUN	,
Et	NOM	Et
par	PRP	par
l'	DET:ART	le
effet	NOM	effet
d'	PRP	de
un	DET:ART	un
charme	NOM	charme
aussi	ADV	aussi
doux	ADJ	doux
que	KON	que
pressant	VER:ppre	presser
,	PUN	,
Je	PRO:PER	je
crains	VER:pres	craindre
pour	PRP	pour
mon	DET:POS	mon
orgueil	NOM	orgueil
s'	KON	si
il	PRO:PER	il
se	PRO:PER	se
trouve	VER:pres	trouver
innocent	ADJ	innocent
.	SENT	.
À	PRP	à
voir	VER:infi	voir
un	DET:ART	un
malheureux	NOM	malheureux
que	KON	que
le	DET:ART	le
destin	NOM	destin
opprime	VER:pres	opprimer
,	PUN	,
On	NAM	On
laisse	VER:pres	laisser
agir	VER:infi	agir
pour	KON	pour
lui	PRO:PER	lui
tout	ADV	tout
ce	PRO:DEM	ce
qu'	PRO:REL	que
on	PRO:PER	on
eut	VER:simp	avoir
d'	PRP	de
estime	NOM	estime
,	PUN	,
Et	NOM	Et
quoi	PRO:REL	quoi
qu'	KON	que
assez	ADV	assez
souvent	ADV	souvent
l'	DET:ART	le
amour	NOM	amour
s'	PRO:PER	se
y	PRO:PER	y
trouve	VER:pres	trouver
joint	VER:pper	joindre
,	PUN	,
La	DET:ART	le
pitié	NOM	pitié
l'	PRO:PER	la|le
autorise	VER:pres	autoriser
,	PUN	,
on	PRO:PER	on
ne	ADV	ne
s'	PRO:PER	se
en	PRO:PER	en
défend	VER:pres	défendre
point	ADV	point
.	SENT	.
L'	DET:ART	le
âme	NOM	âme
qu'	PRO:REL	que
elle	PRO:PER	elle
séduit	VER:pres	séduire
s'	PRO:PER	se
en	PRP	en
laissant	VER:ppre	laisser
trop	ADV	trop
atteindre	VER:infi	atteindre
,	PUN	,
Prend	VER:pres	prendre
sujet	ADJ	sujet
d'	PRP	de
admirer	VER:infi	admirer
ce	PRO:DEM	ce
qu'	PRO:REL	que
elle	PRO:PER	elle
voit	VER:pres	voir
à	PRP	à
plaindre	VER:infi	plaindre
.	SENT	.
En	PRP	en
vain	ADJ	vain
dans	PRP	dans
cette	PRO:DEM	ce
ardeur	NOM	ardeur
on	PRO:PER	on
la	PRO:PER	la
veut	VER:pres	vouloir
refroidir	VER:infi	refroidir
,	PUN	,
Elle	NAM	Elle
se	PRO:PER	se
trouve	VER:pres	trouver
émue	VER:pper	émouvoir
,	PUN	,
et	KON	et
s'	PRO:PER	se
en	PRO:PER	en
ose	VER:pres	oser
applaudir	VER:infi	applaudir
;	PUN	;
Et	NOM	Et
croyant	VER:ppre	croire
d'	PRP	de
elle	PRO:PER	elle
-même	ADJ	même
être	NOM	être
toujours	ADV	toujours
maîtresse	NOM	maître|maîtresse
,	PUN	,
Sur	NAM	Sur
sa	DET:POS	son
compassion	NOM	compassion
excuse	VER:pres	excuser
sa	DET:POS	son
tendresse	NOM	tendresse
.	SENT	.
C'	PRO:DEM	ce
est	VER:pres	être
par	PRP	par
ce	PRO:DEM	ce
sentiment	NOM	sentiment
qui	PRO:REL	qui
semblait	VER:impf	sembler
m'	PRO:PER	me
y	PRO:PER	y
forcer	VER:infi	forcer
,	PUN	,
Que	NAM	Que
pour	KON	pour
Eucherius	NAM	Eucherius
j'	PRO:PER	je
ai	VER:pres	avoir
